G,B,J,D,L,I,E,A,Q,O,N,M,K,F,H,Shear force
-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,1,"[0,0,0,0,0,0]"
1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,"[40,74,52,12,57,15]"
-1,1,-1,-1,-1,1,1,-1,-1,1,1,1,-1,1,-1,"[23,8,14,61,9,70]"
1,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,1,"[0,0,0,0,0,0]"
-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,"[0,0,0,0,0,0]"
1,-1,1,-1,-1,1,-1,-1,1,-1,-1,1,-1,1,1,"[106,122,68,92,131,47]"
-1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,"[9,96,64,11,32,11]"
1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,"[0,8,9,0,3,3]"
-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,"[124,165,69,82,52,11]"
1,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,"[0,6,6,0,3,4]"
-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,"[0,6,4,0,6,5]"
1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,"[81,73,51,67,8,21]"
-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,"[9,123,21,103,6,22]"
1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,-1,"[0,0,0,0,0,0]"
-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,"[0,1,0,0,0,0]"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"[7,11,26,62,68,65]"
